Wavelength,Abs,PL
470.796,2.82,
471.26,2.91,
471.725,2.8,
472.19,2.71,
472.654,2.76,
473.119,2.81,
473.583,2.74,
474.048,2.88,
474.512,2.7,
474.977,2.8,
475.441,2.88,
475.906,2.84,
476.37,2.87,
476.834,2.85,
477.299,2.69,
477.763,2.92,
478.227,2.93,
478.692,2.86,
479.156,2.78,
479.62,2.98,
480.084,2.81,
480.548,2.72,
481.013,2.78,
481.477,2.87,
481.941,2.71,
482.405,2.85,
482.869,2.9,
483.333,2.79,
483.797,2.75,
484.261,2.77,
484.725,2.84,
485.189,2.75,
485.653,2.81,
486.117,2.8,
486.581,3.01,
487.044,2.95,
487.508,2.86,
487.972,2.83,
488.436,2.72,
488.9,2.67,
489.363,2.69,
489.827,2.75,
490.291,2.63,
490.754,2.67,
491.218,2.76,
491.682,2.73,
492.145,2.74,
492.609,2.7,
493.072,2.7,
493.536,2.75,
493.999,2.9,
494.463,2.74,
494.926,2.76,
495.39,2.75,
495.853,2.6,
496.316,2.66,
496.78,2.75,
497.243,2.72,
497.706,2.7,
498.17,2.68,
498.633,2.9,
499.096,2.76,
499.559,2.73,
500.023,2.96,
500.486,2.7,
500.949,2.79,
501.412,3,
501.875,2.71,
502.338,2.7,
502.801,3.23,
503.264,2.71,
503.727,2.89,
504.19,2.81,
504.653,2.82,
505.116,2.75,
505.579,2.82,
506.042,2.85,
506.505,2.76,
506.967,2.88,
507.43,2.97,
507.893,2.75,
508.356,2.84,
508.819,2.77,
509.281,2.71,
509.744,2.9,
510.207,2.79,
510.669,2.74,
511.132,2.82,
511.594,2.79,
512.057,2.79,
512.52,2.75,
512.982,2.68,
513.445,2.69,
513.907,2.81,
514.369,2.69,
514.832,2.73,
515.294,2.9,
515.757,2.64,
516.219,2.64,
516.681,2.93,
517.144,2.73,
517.606,2.77,
518.068,2.76,
518.53,2.69,
518.993,2.74,
519.455,3.09,
519.917,2.94,
520.379,2.66,
520.841,3.01,
521.303,2.82,
521.765,2.61,
522.227,3.01,
522.689,2.74,
523.151,2.54,
523.613,2.81,
524.075,2.76,
524.537,2.74,
524.999,2.83,
525.461,2.63,
525.923,2.54,
526.385,2.84,
526.846,2.69,
527.308,2.8,
527.77,2.71,
528.232,2.6,
528.693,2.76,
529.155,2.81,
529.617,2.58,
530.078,2.68,
530.54,2.71,
531.001,2.59,
531.463,2.72,
531.924,2.67,
532.386,2.63,
532.847,2.53,
533.309,2.77,
533.77,2.61,
534.232,2.73,
534.693,2.67,
535.154,2.79,
535.616,2.66,
536.077,2.8,
536.538,2.69,
536.999,2.78,
537.461,2.7,
537.922,2.76,
538.383,2.61,
538.844,2.58,
539.305,2.57,
539.766,2.55,
540.227,2.56,
540.688,2.69,
541.15,2.67,
541.611,2.59,
542.071,2.72,
542.532,2.48,
542.993,2.56,
543.454,2.64,
543.915,2.79,
544.376,2.63,
544.837,2.65,
545.298,2.56,
545.758,2.61,
546.219,2.66,
546.68,2.67,
547.141,2.82,
547.601,2.63,
548.062,2.69,
548.522,2.65,
548.983,2.58,
549.444,2.65,
549.904,2.53,
550.365,2.59,
550.825,2.84,
551.286,2.57,
551.746,2.62,
552.207,2.54,
552.667,2.47,
553.127,2.65,
553.588,2.6,
554.048,2.72,
554.508,2.68,
554.969,2.6,
555.429,2.59,
555.889,2.61,
556.349,2.58,
556.809,2.63,
557.27,2.51,
557.73,2.58,
558.19,2.56,
558.65,2.53,
559.11,2.58,
559.57,2.57,
560.03,2.48,
560.49,2.49,
560.95,2.55,
561.41,2.46,
561.87,2.52,
562.329,2.51,
562.789,2.49,
563.249,2.54,
563.709,2.44,
564.169,2.41,
564.628,2.45,
565.088,2.43,
565.548,2.44,
566.008,2.46,
566.467,2.4,
566.927,2.44,
567.386,2.44,
567.846,2.39,
568.305,2.35,
568.765,2.42,
569.224,2.33,
569.684,2.41,
570.143,2.37,
570.603,2.38,
571.062,2.36,
571.521,2.48,
571.981,2.3,
572.44,2.3,
572.899,2.4,
573.359,2.33,
573.818,2.36,
574.277,2.38,
574.736,2.3,
575.195,2.32,
575.655,2.31,
576.114,2.29,
576.573,2.29,
577.032,2.33,
577.491,2.26,
577.95,2.26,
578.409,2.26,
578.868,2.23,
579.327,2.25,
579.786,2.28,
580.244,2.23,
580.703,2.2,
581.162,2.25,
581.621,2.2,
582.08,2.21,
582.538,2.2,
582.997,2.18,
583.456,2.16,
583.914,2.17,
584.373,2.15,
584.832,2.16,
585.29,2.16,
585.749,2.13,
586.207,2.15,
586.666,2.15,
587.124,2.12,
587.583,2.12,
588.041,2.12,
588.5,2.09,
588.958,2.08,
589.416,2.09,
589.875,2.09,
590.333,2.08,
590.791,2.11,
591.249,2.07,
591.708,2.03,
592.166,2.05,
592.624,2.03,
593.082,2.03,
593.54,2.02,
593.998,2.02,
594.456,2.02,
594.914,2.02,
595.372,2.01,
595.83,2.02,
596.288,2,
596.746,1.99,
597.204,1.98,
597.662,1.98,
598.12,1.98,
598.578,1.97,
599.036,1.95,
599.493,1.95,
599.951,1.92,
600.409,1.94,
600.866,1.93,
601.324,1.92,
601.782,1.9,
602.239,1.9,
602.697,1.9,
603.155,1.89,
603.612,1.9,
604.07,1.88,
604.527,1.86,
604.985,1.86,
605.442,1.86,
605.899,1.85,
606.357,1.85,
606.814,1.85,
607.271,1.83,
607.729,1.82,
608.186,1.82,
608.643,1.82,
609.1,1.82,
609.558,1.81,
610.015,1.8,
610.472,1.79,
610.929,1.78,
611.386,1.78,
611.843,1.78,
612.3,1.76,
612.757,1.77,
613.214,1.76,
613.671,1.76,
614.128,1.75,
614.585,1.74,
615.042,1.74,
615.499,1.74,
615.955,1.73,
616.412,1.73,
616.869,1.71,
617.326,1.71,
617.782,1.71,
618.239,1.7,
618.696,1.7,
619.152,1.69,
619.609,1.68,
620.066,1.68,
620.522,1.69,
620.979,1.67,
621.435,1.66,
621.892,1.66,
622.348,1.65,
622.804,1.65,
623.261,1.65,
623.717,1.63,
624.173,1.64,
624.63,1.64,
625.086,1.62,
625.542,1.61,
625.999,1.63,
626.455,1.6,
626.911,1.61,
627.367,1.6,
627.823,1.59,
628.279,1.58,
628.735,1.59,
629.191,1.57,
629.647,1.56,
630.103,1.58,
630.559,1.57,
631.015,1.56,
631.471,1.57,
631.927,1.55,
632.383,1.53,
632.839,1.54,
633.294,1.54,
633.75,1.53,
634.206,1.53,
634.662,1.52,
635.117,1.52,
635.573,1.52,
636.029,1.51,
636.484,1.51,
636.94,1.51,
637.395,1.49,
637.851,1.49,
638.306,1.49,
638.762,1.48,
639.217,1.48,
639.673,1.48,
640.128,1.47,
640.583,1.47,
641.039,1.47,
641.494,1.47,
641.949,1.46,
642.404,1.46,
642.86,1.46,
643.315,1.45,
643.77,1.45,
644.225,1.44,
644.68,1.43,
645.135,1.43,
645.59,1.44,
646.045,1.42,
646.5,1.42,
646.955,1.42,
647.41,1.41,
647.865,1.41,
648.32,1.41,
648.775,1.41,
649.23,1.4,
649.684,1.4,
650.139,1.39,
650.594,1.39,
651.049,1.39,
651.503,1.38,
651.958,1.38,
652.413,1.38,
652.867,1.37,
653.322,1.37,
653.776,1.37,
654.231,1.36,
654.685,1.36,
655.14,1.36,
655.594,1.35,
656.049,1.35,
656.503,1.34,
656.958,1.34,
657.412,1.33,
657.866,1.33,
658.32,1.33,
658.775,1.32,
659.229,1.32,
659.683,1.32,
660.137,1.31,
660.591,1.31,
661.045,1.32,
661.5,1.3,
661.954,1.3,
662.408,1.3,
662.862,1.3,
663.316,1.29,
663.769,1.29,
664.223,1.29,
664.677,1.28,
665.131,1.29,
665.585,1.28,
666.039,1.27,
666.492,1.27,
666.946,1.27,
667.4,1.26,
667.854,1.26,
668.307,1.26,
668.761,1.26,
669.215,1.26,
669.668,1.26,
670.122,1.25,
670.575,1.25,
671.029,1.24,
671.482,1.24,
671.936,1.24,
672.389,1.23,
672.842,1.23,
673.296,1.23,
673.749,1.23,
674.202,1.23,
674.655,1.22,
675.109,1.22,
675.562,1.22,
676.015,1.22,
676.468,1.21,
676.921,1.21,
677.374,1.21,
677.827,1.2,
678.281,1.2,
