Wavelength,Abs,Wavelength2,PL
382.579,2.7,722.71112,0.09942
383.048,2.84,722.98413,0.1035
383.516,2.8,723.25714,0.10845
383.985,2.59,723.53021,0.11166
384.454,2.68,723.80322,0.11662
384.922,2.65,724.07623,0.11195
385.391,2.68,724.34924,0.11691
385.86,2.87,724.62225,0.12041
386.328,2.74,724.89526,0.12478
386.797,2.52,725.16827,0.12449
387.266,2.83,725.44122,0.12595
387.734,2.93,725.71423,0.12711
388.203,2.74,725.98724,0.13411
388.671,3.17,726.26019,0.1344
389.14,2.89,726.5332,0.1379
389.608,2.98,726.80621,0.14373
390.077,2.69,727.07916,0.14606
390.545,2.87,727.35211,0.1481
391.014,2.56,727.62512,0.15073
391.482,2.71,727.89807,0.15015
391.95,2.8,728.17102,0.16181
392.419,2.65,728.44397,0.16035
392.887,2.81,728.71692,0.16706
393.355,2.95,728.98987,0.1688
393.824,2.74,729.26282,0.17026
394.292,2.6,729.53577,0.17784
394.76,2.57,729.80872,0.1793
395.229,2.63,730.08167,0.17784
395.697,2.64,730.35455,0.18338
396.165,2.78,730.6275,0.18746
396.633,2.67,730.90045,0.18892
397.101,2.56,731.17334,0.20175
397.569,2.78,731.44623,0.20204
398.038,2.76,731.71918,0.20612
398.506,2.56,731.99207,0.20904
398.974,2.84,732.26495,0.21079
399.442,2.64,732.5379,0.21749
399.91,2.55,732.81079,0.22566
400.378,3.03,733.08368,0.22566
400.846,2.69,733.35657,0.23324
401.314,2.7,733.62946,0.23703
401.782,2.89,733.90228,0.24111
402.25,2.73,734.17517,0.2414
402.717,2.74,734.44806,0.25102
403.185,2.89,734.72095,0.25627
403.653,2.84,734.99377,0.26356
404.121,2.75,735.26666,0.26822
404.589,2.9,735.53949,0.2723
405.057,2.74,735.81238,0.28163
405.524,2.7,736.08521,0.27872
405.992,2.85,736.35803,0.29038
406.46,2.68,736.63086,0.29621
406.928,2.65,736.90375,0.3035
407.395,2.89,737.17657,0.30671
407.863,2.76,737.4494,0.3172
408.331,2.62,737.72223,0.32478
408.798,2.88,737.99506,0.32741
409.266,2.61,738.26782,0.33149
409.733,2.67,738.54065,0.33673
410.201,3.06,738.81348,0.35219
410.668,2.75,739.08624,0.35656
411.136,2.6,739.35907,0.36793
411.603,3,739.63184,0.37114
412.071,2.61,739.90466,0.37988
412.538,2.66,740.17743,0.38805
413.006,2.79,740.4502,0.40146
413.473,2.73,740.72302,0.39738
413.941,2.62,740.99579,0.4137
414.408,3.08,741.26855,0.41749
414.875,2.75,741.54132,0.42449
415.343,2.53,741.81409,0.43936
415.81,2.92,742.08685,0.45773
416.277,2.66,742.35962,0.45714
416.744,2.77,742.63232,0.46472
417.212,3.38,742.90509,0.46968
417.679,2.56,743.17786,0.48017
418.146,2.61,743.45056,0.48717
418.613,2.72,743.72333,0.49038
419.08,2.56,743.99603,0.5035
419.548,2.93,744.26874,0.51458
420.015,2.81,744.5415,0.53586
420.482,2.95,744.81421,0.53761
420.949,2.42,745.08691,0.54577
421.416,2.8,745.35962,0.55335
421.883,2.66,745.63232,0.56676
422.35,2.78,745.90503,0.5793
422.817,2.65,746.17773,0.57434
423.284,2.63,746.45038,0.59796
423.751,2.47,746.72308,0.59621
424.218,2.66,746.99579,0.61254
424.684,2.73,747.26843,0.62216
425.151,2.7,747.54114,0.63528
425.618,2.77,747.81378,0.64636
426.085,2.9,748.08649,0.6519
426.552,2.62,748.35913,0.64723
427.019,2.6,748.63177,0.66735
427.485,2.87,748.90442,0.6723
427.952,2.72,749.17706,0.68455
428.419,2.69,749.44971,0.70321
428.885,2.7,749.72235,0.70641
429.352,2.6,749.995,0.72507
429.819,2.7,750.26764,0.7344
430.285,2.88,750.54028,0.73382
430.752,2.68,750.81287,0.7519
431.219,2.71,751.08551,0.76064
431.685,2.72,751.35809,0.77522
432.152,2.74,751.63074,0.76443
432.618,2.71,751.90332,0.78251
433.085,2.96,752.17596,0.79038
433.551,2.82,752.44855,0.80437
434.018,2.6,752.72113,0.82041
434.484,2.69,752.99371,0.8207
434.95,2.58,753.2663,0.83499
435.417,2.98,753.53888,0.83061
435.883,2.63,753.81146,0.85569
436.349,2.79,754.08405,0.84781
436.816,2.69,754.35657,0.86764
437.282,2.81,754.62915,0.87405
437.748,2.64,754.90173,0.8793
438.215,2.68,755.17426,0.8863
438.681,2.73,755.44684,0.88688
439.147,2.7,755.71936,0.91662
439.613,2.64,755.99188,0.90087
440.079,2.63,756.2644,0.91633
440.545,2.51,756.53699,0.91808
441.012,3.11,756.80951,0.91633
441.478,2.84,757.08203,0.92886
441.944,2.84,757.35455,0.94985
442.41,2.59,757.62701,0.93819
442.876,2.77,757.89954,0.9449
443.342,2.67,758.17206,0.94461
443.808,2.62,758.44452,0.96793
444.274,2.86,758.71704,0.9691
444.74,2.73,758.9895,0.97493
445.206,2.63,759.26202,0.9688
445.671,2.74,759.53448,0.96968
446.137,2.83,759.80695,0.96997
446.603,2.45,760.07947,0.97405
447.069,2.71,760.35193,0.97668
447.535,2.68,760.62439,0.97638
448.001,2.57,760.89685,0.98105
448.466,2.82,761.16931,0.97434
448.932,2.77,761.44171,0.98134
449.398,2.8,761.71417,0.9863
449.863,2.74,761.98663,1
450.329,3.05,762.25903,1
450.795,2.66,762.53149,0.97813
451.26,2.79,762.80389,0.9895
451.726,3,763.07635,0.99329
452.191,2.93,763.34875,0.97901
452.657,2.79,763.62115,0.99796
453.123,2.94,763.89355,0.993
453.588,2.67,764.16595,0.97901
454.054,2.65,764.43835,0.99767
454.519,3.01,764.71075,0.98222
454.984,2.68,764.98315,0.97464
455.45,2.64,765.25555,0.98076
455.915,3.11,765.52789,0.98426
456.381,2.61,765.80029,0.97201
456.846,2.6,766.07263,0.97259
457.311,2.82,766.34503,0.97114
457.777,2.55,766.61737,0.97259
458.242,2.69,766.88971,0.96093
458.707,2.79,767.16211,0.9519
459.172,2.66,767.43445,0.93936
459.638,2.77,767.70679,0.94985
460.103,2.83,767.97913,0.94898
460.568,2.79,768.25146,0.93061
461.033,2.75,768.52374,0.93528
461.498,3.06,768.79608,0.91924
461.963,2.74,769.06842,0.93528
462.428,2.78,769.3407,0.91778
462.893,3.07,769.61304,0.90962
463.358,2.66,769.88531,0.89767
463.823,2.83,770.15765,0.88776
464.288,2.96,770.42993,0.89242
464.753,2.73,770.70221,0.89096
465.218,2.87,770.97449,0.87551
465.683,2.92,771.24677,0.85423
466.148,2.61,771.51904,0.87347
466.613,2.78,771.79132,0.85627
467.078,3.03,772.0636,0.85714
467.543,2.86,772.33582,0.83382
468.007,2.81,772.60809,0.82799
468.472,2.8,772.88037,0.83061
468.937,2.78,773.15259,0.81837
469.402,2.74,773.4248,0.81254
469.866,2.84,773.69708,0.7965
470.331,2.78,773.9693,0.793
470.796,2.82,774.24152,0.79563
471.26,2.91,774.51373,0.78076
471.725,2.8,774.78595,0.77843
472.19,2.71,775.05817,0.76385
472.654,2.76,775.33038,0.74286
473.119,2.81,775.6026,0.73994
473.583,2.74,775.87476,0.73294
